Episode,Date,Guests,Topics,Polls,Stream,ILoF on YT
129,2-Aug-2020,Allegra Love,"immigration, refugees",,https://www.youtube.com/watch?v=pGYdsXLPSOU,
128,1-Aug-2020,(none),,,https://www.youtube.com/watch?v=9sOKNTEngOE,
127,31-Jul-2020,Katie Phang,"law, judgeship, life",,https://www.youtube.com/watch?v=bOAXqLq1K44,
126,30-Jul-2020,"Alexandra Petri, Kathleen Belew (cameo), Mike Chase (cameo)","humor, puns, journalism",,https://www.youtube.com/watch?v=wzdkNWnQSMw,
125,29-Jul-2020,"Tim Miller, Matthew A. Miller, Nate Persily","the 2020 elections, voting",,https://www.youtube.com/watch?v=SEji_b4J9G4,
124,28-Jul-2020,Matthew A. Miller ,Barr testimony,,https://www.youtube.com/watch?v=pysTnKmPf8w,
123,27-Jul-2020,Clare Malone (@ClareMalone),"polling, politics, and shibboleths",,https://www.youtube.com/watch?v=SEXWmPyt90c,
122,26-Jul-2020,Daniel Radosh (@danielradosh),comedy writing,,https://www.youtube.com/watch?v=0RFr6iGH4rA,
121,25-Jul-2020,(none),,,https://www.youtube.com/watch?v=6uG9TpXj_1w,
120,24-Jul-2020,Steven Levy,Facebook,,https://www.youtube.com/watch?v=OD_bxKCpKWs,
119,23-Jul-2020,Andy Slavitt (@ASlavitt),coronavirus,,https://www.youtube.com/watch?v=yRrjdIhwTjU,
118,22-Jul-2020,Ross Trudeau,crossword puzzles,,https://www.youtube.com/watch?v=tpUZVfWSc0A,
117,21-Jul-2020,(none),stories of Ben's youth,,https://www.youtube.com/watch?v=laG-tutITvo,
116,20-Jul-2020,Josh Sharfstein (@drJoshS),coronavirus,,https://www.youtube.com/watch?v=lRYyarIkNY8,
115,19-Jul-2020,(none),,,https://www.youtube.com/watch?v=ifekFFj8wMg,
114,18-Jul-2020,Steve Vladeck (@steve_vladeck),policing,,https://www.youtube.com/watch?v=1UE8wrilGKU,
113,17-Jul-2020,Charlie Warzel (@cwarzel),,,https://www.youtube.com/watch?v=Jz88Ae3Z6lc,
112,16-Jul-2020,Mike Chase (@CrimeADay),crime,,https://www.youtube.com/watch?v=58lpcyTWUl4,
111,15-Jul-2020,Jill Filipovic,,,https://www.youtube.com/watch?v=eXc6LFfvzbU,
110,14-Jul-2020,Ian Heath Gershengorn,supreme court (McGirt decision),,https://www.youtube.com/watch?v=5k1NVhZ1i_g,
109,13-Jul-2020,Jeff Jarvis (@jeffjarvis),speech and the press,,https://www.youtube.com/watch?v=hGG3oy2jJ3M,
108,12-Jul-2020,Andrew Marantz (@andrewmarantz),"prosciutto, media",,https://www.youtube.com/watch?v=jzvsZOnKshk,
107,11-Jul-2020,(none),,,https://www.youtube.com/watch?v=T36fD7ziBGU,
106,10-Jul-2020,"Jonathan Rauch (@jon_rauch), Alex Shephard (@alex_shephard)",Harper's cancel culture letter,,https://www.youtube.com/watch?v=tpY9MJa0H3U,
105,9-Jul-2020,"Marty Lederman, Leah Litman, Margaret Taylor, Dahlia Lithwick",supreme court (subpoena cases),,https://www.youtube.com/watch?v=R1tHI6LiNEM,
